Start Time,Stop Time,Vel X,Vel Y,Vel Z,Tot Vel X,Total Vel Y,Tot Vel Z,Dist X,Dist Y,Dist Z,Tot Dist X,Total Dist Y,Tot Dist Z,Dist Pitch,Dist Roll,Dist Yaw
0.000000,62.150000,0.012144,-0.325476,-0.678760,0.012144,-0.325476,-0.678760,0.000304,-0.008137,-0.016969,0.000304,-0.008137,-0.016969,-0.000369,0.000229,-0.000073

0.000000,62.150000,0.025374,-0.619477,-1.389862,0.037518,-0.944953,-2.068622,0.001242,-0.031761,-0.068685,0.001545,-0.039898,-0.085654,-0.000689,0.000453,-0.000076

0.000000,62.150000,0.038720,-0.884547,-2.133297,0.076238,-1.829500,-4.201919,0.002844,-0.069361,-0.156764,0.004389,-0.109259,-0.242417,-0.001036,0.000726,0.000235

0.000000,62.150000,0.052368,-1.122371,-2.909137,0.128606,-2.951871,-7.111056,0.005121,-0.119534,-0.282824,0.009510,-0.228793,-0.525241,-0.001313,0.000981,0.001252

0.000000,62.150000,0.066664,-1.332213,-3.717419,0.195270,-4.284085,-10.828475,0.008097,-0.180899,-0.448488,0.017607,-0.409692,-0.973730,-0.001581,0.001243,0.002728

0.000000,62.150000,0.079695,-1.513833,-4.558066,0.274965,-5.797917,-15.386541,0.011756,-0.252050,-0.655375,0.029363,-0.661742,-1.629105,-0.001791,0.001580,0.004593

0.000000,62.150000,0.092127,-1.666074,-5.431225,0.367092,-7.463991,-20.817767,0.016051,-0.331548,-0.905108,0.045414,-0.993290,-2.534213,-0.002009,0.001849,0.005971

0.000000,62.150000,0.105538,-1.786704,-6.336787,0.472629,-9.250696,-27.154553,0.020993,-0.417867,-1.199308,0.066407,-1.411157,-3.733521,-0.002164,0.002296,0.006519

0.000000,62.150000,0.119030,-1.876576,-7.274727,0.591659,-11.127272,-34.429280,0.026607,-0.509449,-1.539596,0.093015,-1.920606,-5.273117,-0.002478,0.002763,0.006597

0.000000,62.150000,0.133830,-1.933447,-8.244860,0.725489,-13.060719,-42.674140,0.032929,-0.604700,-1.927585,0.125943,-2.525306,-7.200702,-0.003084,0.003350,0.006382

0.000000,62.150000,0.151414,-1.956045,-9.247155,0.876903,-15.016764,-51.921295,0.040060,-0.701937,-2.364886,0.166003,-3.227243,-9.565588,-0.003840,0.004000,0.005685

0.000000,62.150000,0.167912,-1.976500,-10.249328,1.044815,-16.993264,-62.170623,0.048043,-0.800251,-2.852298,0.214046,-4.027494,-12.417886,-0.004758,0.004644,0.005149

0.000000,62.150000,0.187291,-2.000538,-11.251535,1.232106,-18.993802,-73.422158,0.056923,-0.899677,-3.389820,0.270969,-4.927171,-15.807705,-0.005544,0.005027,0.004551

0.000000,62.150000,0.206515,-2.025146,-12.253743,1.438621,-21.018949,-85.675901,0.066768,-1.000319,-3.977451,0.337737,-5.927489,-19.785157,-0.006124,0.005330,0.005225

0.000000,62.150000,0.221628,-2.050498,-13.255764,1.660249,-23.069446,-98.931665,0.077472,-1.102210,-4.615189,0.415209,-7.029699,-24.400346,-0.006962,0.005776,0.006582

0.000000,62.150000,0.238117,-2.073233,-14.257785,1.898366,-25.142680,-113.189450,0.088965,-1.205303,-5.303028,0.504174,-8.235002,-29.703374,-0.007898,0.006245,0.007064

0.000000,62.150000,0.255023,-2.096266,-15.259742,2.153389,-27.238945,-128.449192,0.101294,-1.309541,-6.040966,0.605468,-9.544543,-35.744340,-0.008739,0.006638,0.007668

0.000000,62.150000,0.274678,-2.119946,-16.261567,2.428067,-29.358891,-144.710759,0.114536,-1.414946,-6.828999,0.720005,-10.959489,-42.573339,-0.009753,0.007009,0.008519

0.000000,62.150000,0.292454,-2.142726,-17.263426,2.720521,-31.501617,-161.974185,0.128715,-1.521513,-7.667124,0.848719,-12.481002,-50.240462,-0.010799,0.007488,0.009336

0.000000,62.150000,0.307838,-2.163024,-18.265350,3.028358,-33.664641,-180.239536,0.143722,-1.629156,-8.555343,0.992441,-14.110158,-58.795805,-0.011629,0.007955,0.010042

0.000000,62.150000,0.324104,-2.179685,-19.267371,3.352462,-35.844326,-199.506907,0.159521,-1.737724,-9.493661,1.151962,-15.847882,-68.289467,-0.012486,0.008323,0.009774

0.000000,62.150000,0.339745,-2.194256,-20.269198,3.692207,-38.038582,-219.776104,0.176117,-1.847073,-10.482075,1.328079,-17.694955,-78.771542,-0.013308,0.008665,0.008670

0.000000,62.150000,0.356807,-2.203789,-21.271312,4.049014,-40.242370,-241.047417,0.193531,-1.957024,-11.520588,1.521609,-19.651979,-90.292130,-0.014189,0.008968,0.006346

0.000000,62.150000,0.373938,-2.210039,-22.273360,4.422952,-42.452409,-263.320777,0.211799,-2.067369,-12.609205,1.733408,-21.719348,-102.901335,-0.014998,0.009189,0.004045

0.000000,62.150000,0.391590,-2.212219,-23.275375,4.814542,-44.664628,-286.596152,0.230937,-2.177926,-13.747923,1.964346,-23.897274,-116.649258,-0.015872,0.009422,0.001204

