time,accX,accY,accZ,pitch,roll,yaw
0.015060,-0.004517,-1.009262,-0.003460,-0.000743,0.006608,0.000000
0.015060,-0.004517,-1.009262,-0.003460,-0.000743,0.006608,-0.000956
0.100000,0.017670,-0.003250,-0.989792,-0.010556,-0.007811,0.003565
0.150000,0.015823,0.000610,-0.991806,-0.000713,0.001693,0.000235
0.200000,0.014755,0.001617,-0.987961,-0.016596,-0.003081,0.001261
0.250000,0.018799,0.001617,-0.991730,-0.014091,-0.007858,-0.001083
0.300000,0.015717,-0.001297,-0.988876,-0.003080,-0.012611,-0.002222
0.849811,0.015823,0.003601,-0.987946,-0.012749,-0.006707,-0.005693
0.925622,0.012802,0.000595,-0.989945,-0.001747,0.000439,-0.006724
1.004760,0.014740,0.002625,-0.986008,-0.000648,-0.003087,-0.002122
1.087299,0.015717,0.001663,-0.985992,0.002953,-0.007820,0.000168
1.173103,0.014847,0.004532,-0.988937,0.000181,0.018462,0.011960
1.262171,0.013824,0.001587,-0.989929,-0.001819,-0.006728,-0.005646
1.354384,0.016541,-0.002213,-0.987976,-0.008192,-0.011405,0.004688
1.450057,0.015579,-0.004196,-0.992920,0.000527,-0.006693,-0.002162
1.548675,0.012848,0.001541,-0.989990,-0.008216,-0.009041,0.004700
1.651004,0.015884,0.004547,-0.987961,-0.004312,-0.005549,-0.004502
1.756667,0.017792,0.001617,-0.987030,0.032264,0.044480,-0.005002
1.860000,0.017365,-0.006058,-0.986038,0.021334,0.043241,-0.007397
1.963333,0.019821,-0.005341,-0.992828,0.005350,0.049208,-0.002804
2.066667,0.023315,-0.005997,-0.988022,0.010357,0.008723,-0.006614
2.170000,0.024689,-0.001251,-0.986008,-0.005177,-0.000853,-0.017184
2.273333,0.016785,-0.004333,-0.988861,-0.037921,-0.024345,0.021756
2.376667,0.035736,-0.027420,-0.985977,-0.003749,-0.012403,0.020897
2.480000,0.004089,-0.111008,-0.985947,-0.008121,0.012119,0.093997
2.583333,0.012695,-0.158768,-0.987030,0.016791,-0.004624,0.211989
2.686667,0.027298,-0.133255,-0.987976,-0.003183,0.000625,0.137883
2.790000,-0.031235,-0.126907,-0.991882,0.015714,0.024318,0.116236
2.893333,-0.016708,-0.092377,-0.987976,-0.012617,-0.011413,-0.145708
2.996667,0.035446,-0.023239,-0.992920,0.004780,0.051982,-0.249145
3.100000,0.003189,-0.049088,-0.989990,-0.049327,0.013611,-0.141044
3.203333,0.035477,-0.000076,-0.987961,-0.088589,0.042593,-0.087781
3.306667,0.080597,0.038849,-0.987030,-0.045534,0.025509,-0.145525
3.410000,-0.015503,0.062302,-0.986038,-0.059344,-0.009614,0.051912
3.513333,0.103897,-0.108993,-0.992828,0.038959,-0.076743,-0.018723
3.616667,0.010010,-0.015793,-0.988022,0.045249,-0.026668,0.383229
3.720000,-0.106888,-0.021133,-0.986008,-0.091478,0.034571,0.203704
3.823333,0.057785,0.078720,-0.988861,-0.032537,-0.005280,-0.264881
3.926667,0.028549,-0.005493,-0.985977,0.015668,-0.029886,0.031295
4.030000,0.096893,-0.019211,-0.985947,-0.053616,-0.005867,0.066993
4.133333,-0.042725,0.030151,-0.987030,-0.010039,0.029179,-0.012274
