time,accX,accY,accZ,pitch,roll,yaw
0.015060,-0.004517,-1.009262,-0.003460,-0.000743,0.006608,0.000000
0.015060,-0.004517,-1.009262,-0.003460,-0.000743,0.006608,-0.000956
0.100000,0.017670,-0.003250,-0.989792,-0.010556,-0.007811,0.003565
0.150000,0.015823,0.000610,-0.991806,-0.000713,0.001693,0.000235
0.200000,0.014755,0.001617,-0.987961,-0.016596,-0.003081,0.001261
0.250000,0.018799,0.001617,-0.991730,-0.014091,-0.007858,-0.001083
0.300000,0.015717,-0.001297,-0.988876,-0.003080,-0.012611,-0.002222
0.350000,0.024759,-0.663560,-1.383812,-0.007390,0.004580,-0.001452
0.400000,0.026971,-0.599391,-1.449749,-0.006385,0.004480,-0.000059
0.450000,0.027210,-0.540406,-1.515668,-0.006946,0.005464,0.006208
0.500000,0.027823,-0.484862,-1.581734,-0.005531,0.005102,0.020340
0.550000,0.029146,-0.427812,-1.647872,-0.005373,0.005243,0.029532
0.600000,0.026567,-0.370275,-1.713858,-0.004195,0.006732,0.037281
0.650000,0.025346,-0.310379,-1.780140,-0.004355,0.005378,0.027568
0.700000,0.027341,-0.245934,-1.846201,-0.003109,0.008950,0.010958
0.750000,0.027508,-0.183224,-1.912212,-0.006270,0.009339,0.001555
0.800000,0.030174,-0.115945,-1.977845,-0.012126,0.011738,-0.004297
0.850000,0.035848,-0.046071,-2.043416,-0.015112,0.012998,-0.013935
0.900000,0.033636,-0.041701,-2.043166,-0.018365,0.012878,-0.010712
0.950000,0.039508,-0.049008,-2.043234,-0.015720,0.007649,-0.011976
1.000000,0.039192,-0.050169,-2.043238,-0.011597,0.006077,0.013489
1.050000,0.030813,-0.051686,-2.042857,-0.016756,0.008905,0.027141
1.100000,0.033617,-0.046351,-2.042856,-0.018720,0.009394,0.009631
1.150000,0.034466,-0.046957,-2.042725,-0.016826,0.007849,0.012097
1.200000,0.040072,-0.048278,-2.042458,-0.020284,0.007428,0.017011
1.250000,0.036241,-0.046443,-2.042526,-0.020910,0.009579,0.016334
1.300000,0.031364,-0.041382,-2.042659,-0.016612,0.009343,0.014116
1.350000,0.033161,-0.033967,-2.042855,-0.017138,0.007358,-0.005344
1.400000,0.031889,-0.029707,-2.042461,-0.016432,0.006829,-0.022084
1.450000,0.034785,-0.019435,-2.043047,-0.017634,0.006067,-0.046474
1.500000,0.034926,-0.012743,-2.042910,-0.016167,0.004423,-0.046023
1.550000,0.035987,-0.004444,-2.042845,-0.017488,0.004658,-0.056830
1.600000,0.038005,0.005101,-2.042906,-0.020426,0.003779,-0.058864
1.650000,0.038293,0.012359,-2.042967,-0.025040,-0.000126,-0.062014
1.700000,0.038588,0.016142,-2.043227,-0.026650,-0.002991,-0.055959
1.750000,0.038619,0.018110,-2.042772,-0.029455,-0.007214,-0.050772
1.800000,0.037562,0.017527,-2.042637,-0.031685,-0.008055,-0.048945
1.850000,0.037242,0.021719,-2.042832,-0.024893,-0.012952,-0.031757
1.900000,0.037786,0.022574,-2.042904,-0.022896,-0.011043,-0.033044
1.950000,0.036598,0.024770,-2.042706,-0.022274,-0.010328,-0.034581
2.000000,0.037390,0.032669,-2.042706,-0.021524,-0.011565,-0.040918
