time,accX,accY,accZ,pitch,roll,yaw
0.015060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.350000,0.001226,0.901384,4.267427,0.000222,0.000113,66529.419319
0.400000,0.002528,1.598200,8.834938,0.000459,0.000232,66529.419676
0.450000,0.003952,2.295523,13.725435,0.000726,0.000354,66529.420054
0.500000,0.005477,2.920778,18.941505,0.001024,0.000483,66529.420451
0.550000,0.007073,3.474837,24.485671,0.001340,0.000619,66529.420863
0.600000,0.008750,3.958023,30.360314,0.001678,0.000759,66529.421277
0.650000,0.010508,4.370721,36.568010,0.002029,0.000896,66529.421721
0.700000,0.012359,4.713522,43.111189,0.002388,0.001037,66529.422304
0.750000,0.014307,4.986970,49.992342,0.002767,0.001174,66529.423026
0.800000,0.016361,5.188925,57.213810,0.003170,0.001310,66529.423961
0.850000,0.018533,5.319961,64.778076,0.003605,0.001443,66529.425128
0.900000,0.020792,5.450966,72.589586,0.004078,0.001573,66529.426552
0.950000,0.023147,5.581946,80.648742,0.004605,0.001703,66529.428190
1.000000,0.025601,5.712904,88.956699,0.005174,0.001836,66529.430005
1.050000,0.028137,5.843841,97.513447,0.005802,0.001969,66529.431986
1.100000,0.030761,5.974749,106.320177,0.006476,0.002102,66529.434039
1.150000,0.033448,6.074679,115.300925,0.007186,0.002241,66529.436169
1.200000,0.036181,6.149433,124.441048,0.007931,0.002384,66529.438387
1.250000,0.038965,6.203831,133.725320,0.008708,0.002533,66529.440724
1.300000,0.041798,6.241972,143.137936,0.009524,0.002687,66529.443255
1.350000,0.044669,6.267593,152.662378,0.010377,0.002848,66529.446033
1.400000,0.047606,6.283992,162.281418,0.011274,0.003016,66529.449104
1.450000,0.050627,6.294073,171.977207,0.012211,0.003191,66529.452421
1.500000,0.053716,6.300340,181.731119,0.013191,0.003376,66529.455898
1.550000,0.056878,6.304685,191.524300,0.014202,0.003574,66529.459480
1.600000,0.060092,6.308486,201.337213,0.015221,0.003791,66529.463135
1.650000,0.063304,6.312490,211.149841,0.016234,0.004033,66529.466808
1.700000,0.066536,6.316693,220.962282,0.017227,0.004298,66529.470518
1.750000,0.069724,6.321134,230.774413,0.018212,0.004581,66529.474260
1.800000,0.072871,6.325828,240.586336,0.019204,0.004880,66529.478177
1.850000,0.076065,6.330796,250.398250,0.020181,0.005198,66529.482350
1.900000,0.079276,6.336027,260.210138,0.021132,0.005533,66529.486681
1.950000,0.082492,6.341532,270.022061,0.022065,0.005882,66529.491183
2.000000,0.085656,6.347329,279.834104,0.022966,0.006247,66529.495885
2.050000,0.088808,6.353421,289.646366,0.023834,0.006636,66529.500786
2.100000,0.091999,6.359791,299.458807,0.024687,0.007046,66529.505872
2.150000,0.095211,6.366407,309.271244,0.025522,0.007479,66529.511030
